episodes,learner_return,learner_harm,harm_per_100_moves,learner_moves,bystander_return,expert_return,frac_social,l_pi,l_v,l_aux,ent,kl,sec
128,-0.04296875,1.3515625,5.752681187095996,24.09375,-18.99609375,25.681640625,1.0,-0.0034276112681254746,0.05386529993265867,0.4197472512722015,1.941096544265747,0.0001168629438325297,619.8320722579956
256,0.08203125,1.2265625,5.470208988056324,22.828125,-19.49609375,25.6328125,1.0,0.01165524497628212,0.043714670557528736,0.4192187458276749,1.9386426866054536,0.0001857466202636715,1140.2983429431915
384,0.0,1.3203125,6.272356869659641,19.90625,-23.6953125,25.75390625,1.0,0.007442347842323429,0.05922794210560182,0.393489832387251,1.9236155117259306,0.003758627751855837,1713.4935064315796
512,-0.0546875,1.03125,5.765048323189422,17.71875,-20.32421875,25.333984375,1.0,-0.010048269387334585,0.04755284488201141,0.34313924312591554,1.9149465481440227,0.00402859188519263,2242.9049623012543
640,0.11328125,0.8828125,5.910499685454939,15.328125,-18.5078125,24.939453125,1.0,0.0074516696156933905,0.023044288577511906,0.281666000187397,1.9103941202163697,0.001669622444023844,2815.377200126648
768,0.01953125,0.75,5.338519223016948,14.203125,-19.78125,25.375,1.0,-0.003231274802237749,0.032517259567976,0.22799748852849006,1.909231609106064,0.0022154625497933012,3481.746162414551
896,0.046875,0.9375,6.099851574004807,16.015625,-19.96875,25.423828125,1.0,0.006776522938162088,0.04100673487409949,0.1840031176805496,1.904328352212906,0.002432722790399566,4036.0540239810944
1024,-0.03515625,0.90625,5.222518678193861,16.796875,-16.66015625,23.91015625,1.0,-0.004845758527517318,0.04960619658231735,0.1538479059934616,1.903717001279195,0.002590118642547168,4640.135097026825
1152,0.0390625,0.796875,4.811967739530964,16.1171875,-19.31640625,23.982421875,1.0,0.00174098105635494,0.02910619042813778,0.13706782087683678,1.8943600237369538,0.0030112313259451186,5234.639080047607
1280,0.0390625,0.9453125,5.266467885556528,17.140625,-20.2578125,24.4296875,1.0,0.009759449772536755,0.029108109325170516,0.12523615844547747,1.8993000209331512,0.0044202889679581855,5865.297294139862
1408,0.0078125,1.1171875,6.001845459588277,18.8125,-18.9921875,25.505859375,1.0,0.0052974516525864605,0.050231564231216906,0.11858724579215049,1.8841008424758912,0.003593528498458909,6506.181286811829
1536,-0.13671875,1.0078125,5.161522797418916,18.9140625,-21.08203125,25.0390625,1.0,-0.011984618799760937,0.05927320085465908,0.1147099133580923,1.8657107532024384,0.002740037684998242,7050.209191560745
1664,0.08203125,0.9765625,5.736459983625509,17.1015625,-17.296875,25.08203125,1.0,-0.011211409140378237,0.035265268106013534,0.11204832531511784,1.8555702984333038,0.0017982083045353647,7622.0094435215
1792,0.1015625,0.90625,5.2863612122439445,16.8671875,-16.90625,24.875,1.0,-0.0037827429128810762,0.040548645332455634,0.11139033772051335,1.8589558362960816,0.003319384381029522,8187.719726085663
1920,0.140625,0.953125,4.744102508173877,19.9453125,-18.0078125,24.259765625,1.0,-0.0019370755180716515,0.025180843099951743,0.10816978141665459,1.867093575000763,0.0017519151762826369,8750.159411668777
2048,0.0078125,1.1875,5.072731973273468,23.78125,-16.96484375,24.720703125,1.0,-0.007552434504032135,0.05416684895753861,0.10786214247345924,1.8648597776889801,0.0023128988599637524,9357.773075342178
2176,0.1953125,1.0625,5.033846411038617,20.375,-19.828125,24.55859375,1.0,-0.004227167530916631,0.025331299006938934,0.10646181814372539,1.8570275008678436,0.002284407457045745,9914.621388435364
2304,0.1015625,1.359375,5.902442495085616,23.109375,-21.0546875,26.33203125,1.0,-0.00510386866517365,0.053209866769611834,0.1070028867572546,1.8405448079109192,0.002057808818062767,10438.160052776337
2432,-0.00390625,1.3359375,5.932441657823077,22.671875,-20.1875,25.640625,1.0,-0.012761663971468806,0.055226169526576996,0.10666468031704426,1.8135664224624635,0.0022217427249415778,10950.164573669434
2560,0.1328125,1.25,5.989161994909129,20.9765625,-17.83203125,25.8125,1.0,-0.0039746408263454215,0.03740599257871509,0.10627550929784775,1.7973367333412171,0.0018721277519944124,11486.922392845154
2688,0.0625,1.4765625,5.552975954443426,25.90625,-22.078125,25.36328125,1.0,-0.009075017110444606,0.06512264199554921,0.10585341639816762,1.796555119752884,0.0013237171304353978,11978.771352767944
2816,0.109375,1.3515625,5.276961179432645,25.484375,-18.76953125,24.390625,1.0,0.0018588001665193587,0.056568174809217456,0.10624036528170108,1.7723006665706635,0.0018246538173116277,12533.32628750801
2944,0.0859375,1.6171875,5.743297869382924,26.03125,-20.21875,24.3515625,1.0,-0.0013799770269542933,0.06900107134133578,0.10766331814229488,1.748802763223648,0.0021869528995011934,13036.50498509407
3072,0.25390625,1.3671875,4.964307853030589,27.2734375,-16.7890625,24.328125,1.0,-0.002076985500752926,0.06971802394837141,0.10782042369246483,1.7245962917804718,0.002366469478874933,13620.742610931396
3200,0.07421875,1.5703125,5.380173275688104,29.4296875,-17.75390625,24.3046875,1.0,0.0063776178285479546,0.06823322176933289,0.10730468221008778,1.7069783329963684,0.00012242124212207272,14162.32991862297
3328,0.3828125,1.6640625,5.701051314988508,28.578125,-19.1875,25.25390625,1.0,0.01712535892147571,0.055360452830791475,0.10723660476505756,1.696150803565979,0.0017375922689097933,14764.397405862808
3456,0.25390625,1.46875,4.790127624933151,30.5234375,-17.12890625,25.98828125,1.0,-0.002374660722645266,0.0655270628631115,0.10733268516404289,1.6562932303973608,0.0028108797643134104,15340.804458856583
3584,0.15625,1.78125,5.756112094903999,30.4375,-18.91015625,25.390625,1.0,0.004974954249337316,0.05907359812408686,0.10847082920372486,1.6199348509311675,0.001209084220317891,15977.550747156143
3712,0.28515625,1.9609375,6.170609509800549,32.5625,-20.0625,24.953125,1.0,-0.00568271545926109,0.06729040406644345,0.1070201437920332,1.6286776304244994,0.0017675104340014514,16523.595482110977
3840,0.203125,1.7265625,4.902148889052678,34.09375,-19.31640625,24.42578125,1.0,-0.0007851721951738,0.07610166650265456,0.10600633434951305,1.582939040660858,0.0025193859721184706,17097.513994932175
3968,0.2421875,1.9765625,5.787201131051832,34.4375,-19.7734375,25.91015625,1.0,0.007814846490509808,0.06982215438038111,0.10615452639758587,1.5609482944011688,0.0008238928763603326,17587.381361484528
4096,0.1328125,1.7421875,5.261053982749006,33.625,-19.5625,25.703125,1.0,-0.0010130062117241323,0.07317664455622434,0.10616384111344815,1.5365849375724792,0.0010664479537808801,18133.519165992737
4224,0.2578125,1.6328125,5.465165635383185,30.984375,-18.11328125,26.73828125,1.0,0.0037377338856458666,0.048857448436319825,0.10433440282940865,1.4750350177288056,0.0012903621427540202,18719.327174425125
4352,0.22265625,1.671875,5.267267436045577,32.3203125,-19.8125,24.427734375,1.0,0.0077044378034770485,0.06032340899109841,0.1049646221101284,1.3691907703876496,0.002777249588689301,19281.78006887436
4480,0.1796875,1.796875,5.486441631391941,32.84375,-22.70703125,24.765625,1.0,-0.007222630060277879,0.06267350483685732,0.10431996285915375,1.338767981529236,0.001562744669354288,19841.437156915665
4608,0.109375,1.3984375,4.542301355110103,30.7578125,-18.33203125,23.439453125,1.0,-0.0025888105854392053,0.06498296465724707,0.1027598187327385,1.3888574481010436,9.56479059823323e-05,20432.59351706505
4736,0.26171875,1.5234375,4.8039980092616865,33.2421875,-18.25390625,24.046875,1.0,0.008702590782195329,0.07361268885433674,0.1019465260207653,1.4384812474250794,0.0017892181254865135,20966.66560935974
