episodes,learner_return,learner_harm,harm_per_100_moves,learner_moves,bystander_return,expert_return,frac_social,l_pi,l_v,l_aux,ent,kl,sec
128,-1.44140625,1.46875,5.945000433883355,25.0703125,-2.1953125,22.224609375,1.0,0.006517273979261518,0.34258819222450254,0.4013706371188164,1.9423353612422942,0.00019169828010490164,107.11555027961731
256,-1.44921875,1.3828125,5.18486338932167,27.5,-2.078125,23.2578125,1.0,0.012384256825316697,0.3168285071849823,0.3977679878473282,1.9396694958209992,0.0015161435359914322,213.1109127998352
384,-1.7109375,1.53125,5.091329952000698,30.078125,-2.33203125,23.857421875,1.0,-0.005623495157219861,0.30651177701197174,0.3530584432576832,1.910226865818626,0.005635914514545891,317.55919456481934
512,-1.96484375,1.9296875,5.723204806587752,33.1640625,-2.46484375,23.298828125,1.0,0.008264308550860733,0.3891816958785057,0.27428397759795187,1.903574913740158,0.0037569199288554956,423.30398297309875
640,-1.76953125,1.765625,5.821065540082502,30.8515625,-2.5859375,23.59375,1.0,-0.0043849054956808685,0.30469012409448626,0.21836762726306916,1.9000437200069427,0.002902046482631704,528.0716507434845
768,-1.4140625,1.4609375,5.4533133154895195,26.90625,-2.16796875,22.6328125,1.0,0.01937771582355102,0.2664404759804408,0.18705092271169027,1.8979789813359578,0.003677131430595182,629.8853232860565
896,-1.6953125,1.640625,5.185815670431726,31.1171875,-2.16015625,24.34375,1.0,-0.001826371221492688,0.2669489805897077,0.1622033930487103,1.8851928048663669,0.0024524040313230622,733.6520509719849
1024,-1.359375,1.4375,4.883328287991393,29.8828125,-2.21875,24.85546875,1.0,-0.008545084297657013,0.22622626945376395,0.14157472923398018,1.8312976896762847,0.003357987054187106,838.6964666843414
1152,-1.75,1.65625,5.226889617294875,32.3984375,-2.25,24.0078125,1.0,0.0037854884518310427,0.25113327875733377,0.12763995081186294,1.7980331659317017,0.002831726390286349,943.6575448513031
1280,-2.29296875,2.15625,5.810036658357685,36.8984375,-3.11328125,24.3515625,1.0,0.0015329490415751934,0.39393187314271927,0.12097998186945916,1.8139628529548646,0.002464484059601091,1047.8280100822449
1408,-1.75,1.859375,5.785372229996473,32.671875,-2.57421875,24.73828125,1.0,-0.0015410857275128364,0.27979338318109515,0.11594471596181392,1.8452982246875762,0.001134367055783514,1151.6484625339508
1536,-1.24609375,1.46875,4.994942167793089,29.9140625,-2.0625,24.17578125,1.0,0.002314405562356114,0.21485139355063437,0.11351058706641197,1.8626320481300354,0.0015322214232583065,1256.1083824634552
1664,-1.4375,1.5234375,5.967682046776379,27.390625,-2.3359375,24.572265625,1.0,-0.003010684228502214,0.23424452766776085,0.11028918735682965,1.8544126212596894,0.0027572268074436577,1360.323805809021
1792,-1.39453125,1.4609375,6.109133555844162,25.25,-2.1953125,22.873046875,1.0,-0.00026109125465154646,0.21951768100261687,0.10859630753596623,1.7886718273162843,0.003616236360782447,1462.3163256645203
1920,-1.2265625,1.3046875,5.806560700328822,22.125,-1.87890625,22.548828125,1.0,-0.005999238463118672,0.19692151993513107,0.1079274183139205,1.6968383863568306,0.0037344257998483954,1565.285442829132
2048,-1.18359375,1.234375,6.724766037802993,19.84375,-2.203125,23.47265625,1.0,-0.011476233555004,0.14868531972169877,0.10867628306150437,1.6316202640533448,0.0007149047720304225,1670.4467480182648
2176,-1.140625,1.1640625,5.943848045577037,19.515625,-1.625,23.6796875,1.0,0.00041511671151965855,0.18633810356259345,0.10760036781430245,1.6767893493175507,0.0037384528055554255,1774.6676564216614
2304,-0.8046875,0.9765625,5.078375192139036,19.1640625,-1.98046875,22.9609375,1.0,0.003278779983520508,0.14631626941263676,0.10587361939251423,1.7499610126018523,0.004387219257478136,1879.083355665207
2432,-1.22265625,1.34375,5.354636328927271,23.296875,-2.16015625,25.20703125,1.0,-0.01098008556291461,0.17676411271095277,0.10582627020776272,1.7608519792556763,0.0006017485888150986,1983.0505864620209
2560,-1.03515625,1.234375,5.255150696215971,23.6015625,-1.859375,24.673828125,1.0,0.001794706389773637,0.16195282563567162,0.10592921189963818,1.7136757135391236,0.0031577451438352,2087.644888162613
2688,-1.08984375,1.296875,5.827597267792502,22.2578125,-1.90234375,25.779296875,1.0,-0.005239510629326105,0.18530653417110443,0.10547099299728871,1.7132649958133697,0.00024153307604137808,2192.4695360660553
2816,-1.046875,1.1875,5.73129985267469,20.8046875,-2.48046875,22.640625,1.0,-0.0014857350615784526,0.1838498480618,0.10465625859797001,1.6962464213371278,0.0018765917397104205,2297.069750547409
2944,-1.05078125,1.25,5.48333932410631,22.96875,-1.7578125,23.67578125,1.0,-0.009311831905506551,0.15353093333542348,0.1039749313145876,1.6615882098674775,0.0028439121946576052,2401.3375775814056
3072,-1.08203125,1.234375,5.238729813782737,22.8828125,-1.7578125,24.9296875,1.0,-0.012435428728349508,0.1741959996521473,0.10354837514460087,1.599480038881302,0.0022493173819384538,2504.9717400074005
3200,-1.19921875,1.328125,5.464396490976656,23.0859375,-1.77734375,26.37109375,1.0,-0.005279918410815298,0.21716602221131326,0.10469870418310165,1.5918661296367644,0.0006591961559024639,2609.124670982361
3328,-0.8515625,1.0625,4.775494695235661,21.1953125,-1.890625,23.869140625,1.0,0.003381701372563839,0.14900222830474377,0.10308585092425346,1.5905844926834107,0.0002116016978106927,2712.3547134399414
3456,-1.015625,1.25,6.518683037305802,19.6484375,-2.21875,23.056640625,1.0,-0.007598430581856519,0.18226792588829993,0.10488774813711643,1.5758325040340424,0.0015267329552443698,2816.3073387145996
3584,-0.93359375,1.03125,5.928824870994831,18.046875,-1.32421875,23.111328125,1.0,0.00023006019182503223,0.1377007555216551,0.10350950993597507,1.548245471715927,0.0006659569480689242,2921.0851452350616
3712,-0.95703125,1.1328125,6.980016503591503,16.578125,-1.93359375,23.83984375,1.0,0.013877873157616705,0.1528830226510763,0.10208939015865326,1.5230209887027741,0.0013502562142093666,3026.353239774704
3840,-0.75,0.984375,4.835368318741862,18.640625,-1.21484375,23.615234375,1.0,-0.005548985570203513,0.13758585415780544,0.10104085318744183,1.5042359232902527,0.001278806439222535,3130.3202228546143
3968,-0.97265625,1.1328125,5.828787639593337,18.484375,-1.83984375,22.626953125,1.0,0.005716777057386935,0.14757712818682195,0.10145052187144757,1.4426512479782105,0.0021175298425077926,3235.8223979473114
4096,-0.5078125,0.6953125,4.447556674312986,16.265625,-1.4296875,22.876953125,1.0,-0.008144068345427514,0.08405175656080247,0.10197882056236267,1.3697415351867677,0.0010986036810209042,3340.9991574287415
4224,-0.69921875,0.9609375,4.82081833131382,19.0078125,-1.53515625,22.88671875,1.0,0.008988920995034278,0.1593915820121765,0.10258172117173672,1.4373271882534027,0.0015994825516827404,3444.7676162719727
4352,-1.078125,1.296875,6.4384339610737795,19.8203125,-2.0,23.830078125,1.0,-0.00973044519778341,0.18076327964663505,0.10200940482318402,1.519449496269226,0.0015063213744724636,3549.193606376648
