episodes,learner_return,learner_harm,harm_per_100_moves,learner_moves,bystander_return,expert_return,frac_social,l_pi,l_v,l_aux,ent,kl,sec
128,-1.20703125,1.2421875,5.298333457429138,23.4453125,-1.6328125,0.0,0.0,0.0019928652327507734,0.13859470672905444,0.4201346799731255,1.9404783487319945,0.00022413991027860902,64.1298987865448
256,-1.14453125,1.1640625,5.44590261840992,21.0546875,-1.80859375,0.0,0.0,-0.004764036601409316,0.1264470513910055,0.419257789850235,1.9322138845920562,0.002003145165508613,135.90617442131042
384,-0.79296875,0.78125,4.402691227372954,17.7265625,-1.05078125,0.0,0.0,0.006820562848588452,0.08876987360417843,0.4048999883234501,1.9172718152403831,0.003463271707914828,193.51530194282532
512,-0.69140625,0.671875,5.601603573316519,11.8203125,-1.25390625,0.0,0.0,-0.0011982000277688106,0.07949024935563405,0.34919174710909523,1.8945938666661581,0.003210976241583315,254.76656222343445
640,-0.4140625,0.4609375,5.107754658535908,8.46875,-1.01953125,0.0,0.0,-0.007910371711477637,0.04624370634555817,0.28457444310188296,1.8539106667041778,0.0033274872825131752,317.2685341835022
768,-0.27734375,0.328125,5.023589691558441,6.4765625,-1.08203125,0.0,0.0,-6.079608574509621e-05,0.026954884454607964,0.22523467913269996,1.839600819349289,0.0024488617411407175,376.1261098384857
896,-0.1875,0.2578125,5.360299422799423,5.265625,-1.08984375,0.0,0.0,0.001266702078282833,0.02757879961282015,0.18163753673434258,1.82556095123291,0.0019690296321641654,436.90185165405273
1024,-0.3359375,0.3828125,8.621961805555557,4.25,-0.64453125,0.0,0.0,-0.0010593197144129697,0.033433420474038404,0.15321538378210628,1.8136339397991406,0.003048109167139046,493.2774074077606
1152,-0.18359375,0.2421875,7.816220238095239,3.3515625,-0.8203125,0.0,0.0,0.003986575081944466,0.017314738097290196,0.13519239723682402,1.7851203441619874,0.0033500075980555264,548.4599902629852
1280,-0.140625,0.15625,5.632440476190476,2.53125,-0.5625,0.0,0.0,-0.0009508866583928466,0.013387256860733032,0.12636521607637405,1.7518904030323028,0.002389007840247359,608.0977621078491
1408,-0.12109375,0.15625,6.257440476190476,1.828125,-0.94921875,0.0,0.0,-0.0014457741286605596,0.013140210323035717,0.11757077388465405,1.733558177947998,0.0005231139999523293,671.0448393821716
1536,-0.0546875,0.1171875,5.859375,1.6328125,-0.609375,0.0,0.0,-0.0026121907867491245,0.010182004887610674,0.11292074806988239,1.7275604963302613,0.0024496447083947716,727.7312164306641
1664,-0.0390625,0.078125,3.971354166666667,1.328125,-0.57421875,0.0,0.0,0.007534715114161372,0.00640039355494082,0.11003271825611591,1.6665725231170654,0.0023681109545577784,806.4708433151245
1792,-0.0625,0.078125,5.533854166666667,1.25,-0.6640625,0.0,0.0,-0.012058561574667693,0.004460769926663488,0.11032536737620831,1.636096143722534,0.00147124266877654,865.9970111846924
1920,-0.0625,0.09375,6.8359375,1.0390625,-0.31640625,0.0,0.0,-0.0022339907474815844,0.007137282914482057,0.10764056257903576,1.6289761781692504,0.000652891730715055,937.3100843429565
2048,-0.0078125,0.0234375,1.71875,0.7890625,-0.62890625,0.0,0.0,-0.005904824216850102,0.002065860563016031,0.10553330220282078,1.6595557451248169,0.0025866658994345925,997.9167261123657
2176,-0.046875,0.0625,4.6875,0.6640625,-0.65234375,0.0,0.0,-0.0045341701421421025,0.005059138569049537,0.10781497582793236,1.699941301345825,0.0010509511892450973,1058.9205355644226
